service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
3092V,0,0,0,0,1,0,0,20250613,20250613                                                                                                                 
3162X,0,0,1,0,0,0,0,20250514,20250514                                                                                                                 
3163J,0,0,0,1,0,0,0,20250515,20250515                                                                                                                 
3164V,0,0,0,0,1,0,0,20250516,20250516                                                                                                                 
3165S,0,0,0,0,0,1,0,20250517,20250517                                                                                                                 
3166D,0,0,0,0,0,0,1,20250518,20250518                                                                                                                 
3167L,1,0,0,0,0,0,0,20250519,20250519                                                                                                                 
3168M,0,1,0,0,0,0,0,20250520,20250520                                                                                                                 
3169X,0,0,1,0,0,0,0,20250521,20250521                                                                                                                 
3170J,0,0,0,1,0,0,0,20250522,20250522                                                                                                                 
3171V,0,0,0,0,1,0,0,20250523,20250523                                                                                                                 
3172S,0,0,0,0,0,1,0,20250524,20250524                                                                                                                 
3173D,0,0,0,0,0,0,1,20250525,20250525                                                                                                                 
3174L,1,0,0,0,0,0,0,20250526,20250526                                                                                                                 
3175M,0,1,0,0,0,0,0,20250527,20250527                                                                                                                 
3176X,0,0,1,0,0,0,0,20250528,20250528                                                                                                                 
3177J,0,0,0,1,0,0,0,20250529,20250529                                                                                                                 
3178V,0,0,0,0,1,0,0,20250530,20250530                                                                                                                 
3179S,0,0,0,0,0,1,0,20250531,20250531                                                                                                                 
3180D,0,0,0,0,0,0,1,20250601,20250601                                                                                                                 
3181L,1,0,0,0,0,0,0,20250602,20250602                                                                                                                 
3182M,0,1,0,0,0,0,0,20250603,20250603                                                                                                                 
3183X,0,0,1,0,0,0,0,20250604,20250604                                                                                                                 
3184J,0,0,0,1,0,0,0,20250605,20250605                                                                                                                 
3185V,0,0,0,0,1,0,0,20250606,20250606                                                                                                                 
3186S,0,0,0,0,0,1,0,20250607,20250607                                                                                                                 
3187D,0,0,0,0,0,0,1,20250608,20250608                                                                                                                 
3188L,1,0,0,0,0,0,0,20250609,20250609                                                                                                                 
3189M,0,1,0,0,0,0,0,20250610,20250610                                                                                                                 
3190X,0,0,1,0,0,0,0,20250611,20250611                                                                                                                 
3191J,0,0,0,1,0,0,0,20250612,20250612                                                                                                                 
3192V,0,0,0,0,1,0,0,20250613,20250613                                                                                                                 
3262X,0,0,1,0,0,0,0,20250514,20250514                                                                                                                 
3263J,0,0,0,1,0,0,0,20250515,20250515                                                                                                                 
3264V,0,0,0,0,1,0,0,20250516,20250516                                                                                                                 
3265S,0,0,0,0,0,1,0,20250517,20250517                                                                                                                 
3266D,0,0,0,0,0,0,1,20250518,20250518                                                                                                                 
3267L,1,0,0,0,0,0,0,20250519,20250519                                                                                                                 
3268M,0,1,0,0,0,0,0,20250520,20250520                                                                                                                 
3269X,0,0,1,0,0,0,0,20250521,20250521                                                                                                                 
3270J,0,0,0,1,0,0,0,20250522,20250522                                                                                                                 
3271V,0,0,0,0,1,0,0,20250523,20250523                                                                                                                 
3272S,0,0,0,0,0,1,0,20250524,20250524                                                                                                                 
3273D,0,0,0,0,0,0,1,20250525,20250525                                                                                                                 
3274L,1,0,0,0,0,0,0,20250526,20250526                                                                                                                 
3275M,0,1,0,0,0,0,0,20250527,20250527                                                                                                                 
3276X,0,0,1,0,0,0,0,20250528,20250528                                                                                                                 
3277J,0,0,0,1,0,0,0,20250529,20250529                                                                                                                 
3278V,0,0,0,0,1,0,0,20250530,20250530                                                                                                                 
3279S,0,0,0,0,0,1,0,20250531,20250531                                                                                                                 
3280D,0,0,0,0,0,0,1,20250601,20250601                                                                                                                 
3281L,1,0,0,0,0,0,0,20250602,20250602                                                                                                                 
3282M,0,1,0,0,0,0,0,20250603,20250603                                                                                                                 
3283X,0,0,1,0,0,0,0,20250604,20250604                                                                                                                 
3284J,0,0,0,1,0,0,0,20250605,20250605                                                                                                                 
3285V,0,0,0,0,1,0,0,20250606,20250606                                                                                                                 
3286S,0,0,0,0,0,1,0,20250607,20250607                                                                                                                 
